"Date","Title","Review_Text","Review_Score","Country"
1998-07-07,"THE BEST!!!","I read this about two years ago, and I admit, I don't remember all of it.  But I can tell you that it was AWESOME!  Timothy Zahn is a master at portraying lively characters - you get to know each character very personally, which you rarely find in books.  Yeah, true, Thrawn was probably the favorite for most people who have read the book, but you can't deny that Mara was the bomb!  I have been immensely disappointed after reading many of the other Star Wars books afterwards (Jedi Academy seemed like a children's book compared to this), so Zahn - please write more!",5,"UK"
1999-12-16,"Mr Perfect-Cheese says ""Mr Zahn - Best Star Wars writer""","Having read all three in this trilogy, obviously, Timothy Zahn really seems to develop the existing characters and introduces very strong new ones, totally in-keeping with the spirit of Star Wars.  The books make  entertaining reading and would make superb films. Only thing that does bug  me though is that Grand Admiral Thrawn, a believable character though he  is, seems to know too much about everything that is going on in the galaxy.  Mr Zahn does sometimes make a galaxy seem the size of a small village in  Devon because the main 'baddie' seems to know what everyone is doing all of  the time.  Apart from that the books were excellent with a brilliant twist  in this last book.",5,"UK"
1997-12-03,"The Trilogy's end;nothing short of what came to be expected!","When I started to reaaad this, I was already over-whelmed by the first two novels in the series. Timothy Zahn provided me with one of the best novels in terms of thrills, anticipationa nd action, that I have yet read. For every fan of the Star Wars saga, this trilogy is a must read.Luke and Liea battle for the Jedi children and the continuation of the Jedi Knights. The Imperial Admiral does everything in his power to destri them. Gut-wrenching traps, Slicing escapes and Explosive battles come together in this last of the trilogy series.",5,"UK"
1998-04-17,"An excellent work","This was an excellent book, in turn part of an excellent trilogy. As with many others I was saddened to see the brilliant military genius of Grand Admiral Thrawn die in the end but I thought that Zahn made his death as graceful as his life. The other character I have to compliment Zahn on is Captain Pellaeon who captures the essence of an Imperial officer perfectly, to the point where even the greatest supporters of the rebels can sympathise with him.  An excellent book that gives even greater depth to the Star Wars universe.....",5,"UK"
1998-12-29,"Absolutly fantastic. Can't put it down.  Zahn Rules","Awesome. Terrific.  Fun packed to the end.  Our old friends come back for another adventure that rivals the original trilogy.  Thrawn is a great  villain.  Karrde is a great new character that could be a powerful ally or  a fearsome enemy.  Keeps you guessing wich he's gonna turn out to be during  all 3 books.  I loved every word of these books.  Every SW fan must read  it.  Jade is a great counterpart for Luke, Karrde for Han.  Each finds in  the other something of himself and a little bit more.  Excellent.",5,"UK"
1998-12-09,"Excellent characterization and beautiful plotting","The Thrawn trilogy were the first SW novels I read and so far, the best.  Zahn not only managed to breathe new life into all the characters from the  movies, he gave them a plausible villian and a plausible threat.  Thrawn is  easily the best-worked villian in the entire SW universe, and the only one  who truly manages to portray the Empire as something other than evil.  In  his actions, he shows the desire for order, which is a historically  plausible reason for imperialism.  A beautiful book.",5,"UK"
1999-07-11,"Good, but lacking in some areas","A decent conclusion to the Zahn trilogy.  A few problems with it though: I found the fact that Fey'lya was still on the new republic counsel after  what he did in the last book ridiculous.  Also, the ending battles, both in  space and in the throne room had some flaws.  The smugglers part in the  space battle made little sense.  As well, Mara destroying both of the  enemies in the throne room was also disappointing.  Overall, the trilogy  was decent reading, but it did not feel like star wars.",3,"UK"
2002-06-08,"Brill","Although Im a great fan of Star Wars, I never really cared for the 'Expanded Universe Books', I thought that they couldnt give me more joy and excitemnet as the films did, I was wrong! After reading Zahn's, 'Heir to the Empire' and 'Dark Force Rising', I was utterly enthralled by them, I had to buy the third enstallment, 'The Last Command', whhich in my opinion, is the best of the Trilogy. The way that Zahn describes every tiny detail to get the image across is excellent, I never thought that there could be another villian to fill the shoes of Vader and the Emperor, but Zahn delivered us Grand Admiral Thrawn, everything you'd expect of a Warlord. The book is written beautifully, the scenes between Mara Jade and Luke Skywalker are superbly written, although they are not together in this series, you can see their relationship develloping. The insane Jedi, Joruus C'boath is excellently potrayed in this book, even the words he says give a sense and feeling of madness!. I would recommend this book to anyone.",5,"UK"
1998-06-23,"A typical happy-ending  farytail in the classic SW universe.","When you've read this book you think -  Oh Thats It !? The Last Command features the same story as the other SW books/movies: A large and ruthless Empire that wants to eliminate all enemies. But then as always the good guys win and every body's happy - except the reader !  This is just so trivia.  You never se the situations from the Empires point of view. How does the avereage private man feel about this. You only read about the good old rebellion witch dosent stand a chance, but wins anyway !!!  Don't spend your money on this if you're not a SW freak",2,"UK"
1999-10-16,"And finally...","You've finished re-establishing yourself in Lucas' universe in 'Heir to the Empire', you've completed your Bothan studies in 'Dark Force Rising',  and now, you're about to place the icing on the cake in Zahn's thrilling  climax - 'The last Command'. Well don't hesitate. The tables have turned  once again, and spinning that table is the hand of Thrawn. The Empire has  risen to power once again, and what seemed like an unsavoury clean-up  process for the Rebellion has once again erupted into full scale war.  Zahn's third installment is a wonderfull read, as characters genuinley come  of age, they develop before the mids eye, maturing, learning, and often  compromising, and this is exactly what makes 'The last Command' the finale  it needed to be. I'm sure you don't need to be persuaded any more, but  here's a thought. A Grand Admiral with the sheer genius of Thrawn... an  almost poetic knack of out-smarting opponents, a character with some of the  most fantastically strategic and ingenious tactics that ever graced a  novel... then think how clever you must have to be to orchestrate the every  though of a character like that. Well done Timothy Zahn... may the force be  with you.",5,"UK"
1998-11-02,"One of the best!","This has got to be one of the best Star Wars books ever written, and it is in the best series as well. Timothy Zahn has given us a superb book with an  involving storyline, interesting new characters, new species, new planets,  and they all come together in this amazing end to the trilogy. Zahn manages  to portray the characters much more accurately than many of the other Star  Wars authors around. This book is a must buy if you liked the first two in  the series.",5,"UK"
1999-07-16,"Zahn does it again!!! The best of the Thrawn trilogy!!!","What can I say? This is THE BOOK!!!! Everything from the Noghri, to the final confrontation between Luke, Mara, and C'Boath is absolutely breath  taking. The idea about the clone was perfect, and introducing Karde into  the Star Wars novels was a great beginning. Nobody can match wits with  Zahn, and he is still undisputed master of the Star Wars galaxy. If you  have anything to do with Star Wars, you must read this book, and the force  is definitly with Zahn.",5,"UK"
1998-04-07,"This book has great action.","The Last Command has great scennes with Mara Jade, Galatic Master of Sarcasam. Who else would have the nerve to say things like that to Joruus C'Boath? Our honorable little Jedi Knight tries the begging and pleading technique that never gets him anywhere, but does he learn? No. What a surprise.It is much more gripping than Heir to the Empire or Dark Force Rising, but has less parts of Luke and Mara acting like third graders.",5,"UK"
1997-06-26,"A true masterpiece, a tragedy worthy of Shakespeare.","Timothy Zahn brings the readers almost to tears as the great Grand Admiral quotes: ""But, it was so artistically done.""  Those loyal Imperials out there are truly saddened, as if it actually happened, as if Star Wars was real.  That's what Zahn does: he brings the mythos to life.  I salute Zahn, and I salute the greatest character ever created in Star Wars, save the Emperor, Thrawn: May you rest in peace, sir.",5,"UK"
1999-02-18,"Required Reading for any Star Wars Fan","Zahn is a master at how he weaves wonderful new experiences into the lives of the characters that we know and love.  The trilogy that this book is  part of is a sci-fi masterpiece and serves as a great example of how Star  Wars novels should be written! Bravo!  Mara Jade was a brilliant idea and  she is not a run of the mill character, but rather a complicated enigma  that is sure to live on in many novels to come!",5,"UK"
2000-11-02,"A Triumph for The Star Wars, Ongoing, Saga","I originally bought the first book, of this three part series, at a jumble sale. I was sceptical of the many additional storylines that have been spawned form the films.Timothy Zahn in my opinion has written a trilogy, that would surpass the films. It was intriguing, and had me totally engrossed. I thoroughly recommend the series of books (as they all have to be read in order to fully understand the whole storyline) for not just Star Wars fans, but any one who enjoys, a well documented Saga!",5,"UK"
1999-07-30,"Almost Perfect.  Almost...","I loved this book except for one thing: the big finale between Luke and the bad Jedi.  I guess a fight is a fight is a fight, and even a good  writer can't do much new with one.  Still, great characters, wonderful  scheming and counter-scheming, and a sense of wonder that are sorely  missing from the new film.  And the way Thrawn gets his come-upance was  brilliant.  Bring on the new books!",4,"UK"
1998-04-07,"THIS WAS A FANTASTIC BOOK!!","This was an awesome end to a great series. I was kind of dissappointed to see Thrawn go down, and i would have liked to know what other toys and secrets lay hidden in mount tantiss by the Emperor. Other than that, the book delivered. The final scenes with C'Baoth were great and I was relieved when Mara Jade finally fullfilled her mission...  AN EXCELLENT READ!!",5,"UK"
1998-01-28,"Don't know about the ending, but still a sweet trilogy!","I feel that if you have seen the movies and can't wait for the next Trilogy then you have to revert to reading some books.  Well these are about as close as you are going to get to the original characters and action without actually watching the movies.  Good story, clever settings.  The only complaint would have to be the ending, but it's still ok. - J.A.S.",4,"UK"
1999-08-04,"Simply superb!","I have read the tree books of THRAWN WARS from Timoty Zahn, this books are simply superb, they keep the pure style of STARWARS TRILOGY and currenty  Episode I, it will be a shame if George Lucas won't  take them to the  movies, i have that concern,(perhaps in 10 years, who knows)the writing is  very descriptive,so you can have very fine details. ENJOY THEM!",5,"UK"
1997-05-12,"AMAZING AND GRIPPING!!!","There is No better SW book than this!I have never ever felt so inspired by a book that can actually create a much more interesting and inventive atmosphere using the known characters, machinery, fighters and aliens than I ever believed!!! THIS SHOULD BE A PRIME EXAMPLE TO ANYONE WISHING TO WRITE A SEQUEL TO ANY BOOK!",5,"UK"
1998-11-29,"Simply the Best","I had only seen the Star Wars movies once when I read this book in seventh grade.  I got hooked.  This was one of the best books about Star Wars ever  written, second only to Children of the Jedi.  The book took a few  unexpected turns, but it was worth it.  If you like Star Wars, make sure  you read this book.  It's one of the best.",5,"UK"
1999-02-10,"THIS IS THE BEST BOOK IN THE UNIVERSE!!!!!!!!!!!!!!!!!!!","This is the best book I've ever read. Joruus C'boath is the craziest SW character, and Grand Admiral Thrawn WAS ONE OF THE BEST CHARACTERS ON THE  PLANET! I love this book!  I love the part where it was Luke vs Luuke, and  the only problem was, how did Joruus get the Force bacK from the ysalamari!  I LOVE IT!!!!!!!!!!!!!!!",5,"UK"
1999-08-08,"GREAT, Of of those 'Stay-Up-Till-3-in-the-morning-reading-it","It's really good. I suggest anyone really interested in Star Wars should read this. If you're not interested don't read it, because then all you'lee  be able to do is write a review to Amazon.com and say that it sucked, but  not you really like Star Wars anyway. That's just stupid!READ THE BOOK,  IT ROCKS!!!!!",5,"UK"
1999-06-26,"Worthy ending to great trilogy","Tim Zahn has delivered a worthy finale to his famed and undisputed Thrawn Trilogy. Though this book was basically great, Zahn's introduction of so  many new characters (smugglers mostly) and locations got confusing. But, if  you wanna see how a real Star Wars author does it, buy this book and its  two prequels.",4,"UK"
1999-06-01,"Best Star Wars book written to date","This whole trilogy gets five stars. This book in particular is perhaps the best Star Wars book that has been written since the original trilogy. I  recommend that any Star Wars fan reads this trilogy before anything else,  because it will permanently hook you to the Star Wars novel universe. The  perfect book.",5,"UK"
1999-05-30,"6 STARS OUT OF 5; TIMOTHY ZAHN MUST BE GEORGE LUCAS'S CLONE","This book is the ABSOLUTE BEST book I've ever read!! It is a epic conclusion to the Thrawn Trilogy and probably a secret script taken from  George Lucas!!If you see one movie this year, see STAR WARS: PHANTOM  MENACE!!If you read only one book series this year, READ THE THRAWN  TRILOGY!!!!!!!!!!!!!",5,"UK"
1997-10-01,"Extensively Overwhelming Conclusion is a Hit","This book is simply a masterpiece, although,  if you read it directly after HEIR, you might notice that HEIR is more likeable in a way that it is more like the movie trilogy. Zahn has  marvelously captured the flavor of STAR WARS,  although a slot weaker than HEIR in some aspects. ZAHN'S TRILOGY RULES!",5,"UK"
1999-03-18,"A gripping conclusion to a great saga","...Simply incredible. The brilliant writing of Mr. Zahn brings forth the feeling of the Star Wars saga. It tells of the ever-growing insanity of  Joruus C'baoth and the fate of Grand Admiral Thrawn. A truly great book,  though a bit depressing because Thrawn died. I got kind of attached to him.",5,"UK"
1999-07-16,"Timothy  Zahn's is a master storyteller.","This book was a great conclusion to the star wars trilogy. I would love to see George Lucas add this trilogy, for episode 7 thru 9. The book had all  the drama and mystery as to how this was going to end. I look forward to  Timothy Zahn's next series of books on the star wars universe.",5,"UK"
2000-08-08,"Gripping till the end","I have just finished reading the empire trilogy. In brief, I can only say that I was transported into the midst of the action with a big tub of popcorn on my knee. TZs writing is second to none - all our favourite  characters were there - he captures the ambiance that is Star Wars. Thrawn  was so well described you could see him constantly coming out of the  shadows with some deadly counter action if you dared to even put the book  down for a second (which was practically impossible). As a trilogy, I had  to keep all three books together for fear of loosing the continuity. But  dont just listen to me rambling on about it, go and buy the books ""YOU  WILL BUY THE BOOKS!""",5,"UK"
1999-02-06,"I LOVED IT!!!!","This book is great, I'm 13 and I loved it the first, second and third times! Thrawn is probaly the coolest bad guy I've ever seen, and I read  alot of these books, so does my dad and he loved it to I recomend this book  to any body who likes the  Star Wars books!",5,"UK"
1997-05-06,"The Beginning","Timothy Zahn has, with this series, inspired a flood of Star Wars books that we enjoy today.  Never before have I been so entranced by a Star Wars novel, and I hape to read more about Our dear friend Admiral Thrawn.  After all, there's allways the Hand.",5,"UK"
1999-03-23,"What a GREAT Book","This is the best book I have ever read.  The super climatic end to the perfect series.  I especially love the introduction of Mara Jade into the  star wars world. I also became very attatched to Grand Admiral Thrawn, and  the way he died was a great ending.",5,"UK"
1997-11-04,"Really awesome","This book is the best Star Wars book ever! Because, ""It was so artistically done."" As well,  C'baoth is a ""mindless philosipher"" and truly insane. In short, the book, for heroes and villains, is ""725 to 1""!",5,"UK"
1998-03-23,"If you like Star Wars and you haven't read this,READ IT","The Last Command is a high suspenseful story with lots of Star Wars action. It is far better than the first two and Zahn wrote this book extreamly well. If they make this series into a movie, I recommend you get the first ticket.",5,"UK"
1999-08-08,"Great ending to the Thrawn Trilogy!","Zahn saved the best for last with his final book of the Thrawn trilogy.  This book was great, I read the last 180+ pages in one day because I was  hooked!  I rated the first two books 4 out of 5 but this one is definitely  a 5.",5,"UK"
2001-07-07,"Genius!!!","It's a classic example of writing at its best.  anybody who is a Star Wars fan will love it but it's easy to understand if you are not already a fan(MAD!!), but you must read the first two books in the Thrawn Trilogy.",5,"UK"
1999-06-23,"This is a Fast paced conclusion to the trilogy.","This book concludes the trilogy in a fast paced, exciting way, having the 'final showdown' in Mount Tantiss between Luke Skywalker and Mara Jade. I  am currently 3/4 way through and am enjoying it a lot!  A thoroughly  deserved winner of *****'s!!",5,"UK"
